               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.021067,           0.0077577,                   0,             0.73331,                   1,             0.86655,             0.38434,             0.03309,           0.0090099,                   0,            0.003763,            0.003763,            0.003763
                 128,             0.02233,            0.008778,                   0,             0.73333,                   1,             0.89177,             0.44206,            0.032704,           0.0087751,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.021319,           0.0095643,                   0,             0.78543,                   1,             0.91245,             0.45484,            0.032259,           0.0088649,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.021453,            0.008285,                   0,             0.78569,                   1,             0.93006,             0.43385,            0.033282,           0.0090057,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,             0.02294,           0.0093878,                   0,             0.78566,                   1,             0.94571,             0.44504,            0.033723,           0.0089291,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.023925,           0.0081704,                   0,             0.78564,                   1,             0.94571,             0.42285,            0.033023,           0.0088306,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.020132,           0.0088912,                   0,             0.78563,                   1,             0.92571,             0.42348,            0.035114,            0.008889,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.021401,           0.0086459,                   0,             0.84612,             0.99978,             0.92346,             0.46121,            0.033666,           0.0089307,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.021891,           0.0090012,                   0,             0.84615,             0.99995,             0.93131,             0.40375,            0.036141,           0.0089392,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.022437,           0.0096007,                   0,             0.84611,                   1,             0.93131,              0.4525,            0.034048,           0.0087027,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.022123,           0.0088688,                   0,             0.84608,                   1,             0.92346,             0.44267,            0.035076,           0.0089797,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.020357,            0.009176,                   0,             0.84605,                   1,             0.91192,             0.44746,            0.034451,            0.009115,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.021981,           0.0088117,                   0,             0.84609,                   1,             0.91192,             0.42627,             0.03491,           0.0092594,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.020817,            0.009619,                   0,             0.84598,                   1,             0.89808,             0.44812,            0.034878,           0.0091393,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.020931,            0.010026,                   0,             0.84603,                   1,             0.89808,             0.44024,            0.033926,           0.0091362,                   0,             0.00307,             0.00307,             0.00307
